10:00:12: Start[1][A]
10:00:12: Start[2][A]
10:00:12: Start[3][A]
10:04:19: Start[4][A]
10:04:19: Start[5][A]
10:17:47: Chip: 451; Nr: 451; (10:17:46,8);
10:17:47: Chip: 538; Nr: 538; (10:17:47,8);
10:17:52: Chip: 20160116; Nr: 116; (10:17:51,8);
10:18:00: Chip: 434; Nr: 434; (10:17:59,5);
10:18:24: Chip: 452; Nr: 452; (10:18:23,5);
10:18:51: Chip: 20160004; Nr: 4; (10:18:51,8);
10:19:06: Chip: 72; Nr: 72; (10:19:06,8);
10:19:09: Chip: 20160273; Nr: 273; (10:19:09,8);
10:19:22: Chip: 20183011; Nr: 3011; (10:19:21,8);
10:19:22: Chip: 20160294; Nr: 294; (10:19:21,8);
10:19:27: Chip: 275; Nr: 275; (10:19:26,5);
10:19:29: Chip: 453; Nr: 453; (10:19:28,8);
10:19:30: Chip: 20180046; Nr: 46; (10:19:29,8);
10:19:30: Chip: 20180027; Nr: 27; (10:19:29,8);
10:19:39: Chip: 479; Nr: 479; (10:19:38,5);
10:20:00: Chip: 20180098; Nr: 98; (10:19:59,6);
10:20:02: Chip: 20160183; Nr: 183; (10:20:02,3);
10:20:06: Chip: 20160408; Nr: 408; (10:20:05,8);
10:20:15: Chip: 20189999; Nr: 9999; (10:20:14,5);
10:20:20: Chip: 539; Nr: 539; (10:20:19,5);
10:20:20: Chip: 20181887; Nr: 1887; (10:20:19,8);
10:20:28: Chip: 20180077; Nr: 77; (10:20:28,3);
10:20:34: Chip: 20181005; Nr: 1005; (10:20:33,5);
10:20:43: Chip: 397; Nr: 397; (10:20:43,9);
10:20:49: Chip: 107; Nr: 107; (10:20:48,5);
10:20:49: Chip: 109; Nr: 109; (10:20:48,8);
10:20:50: Chip: 20185555; Nr: 5555; (10:20:49,8);
10:20:50: Chip: 20180123; Nr: 123; (10:20:50,9);
10:20:53: Chip: 442; Nr: 442; (10:20:53,3);
10:20:57: Chip: 317; Nr: 317; (10:20:57,9);
10:21:00: Chip: 458; Nr: 458; (10:21:00,9);
10:21:02: Chip: 20181512; Nr: 1512; (10:21:01,5);
10:21:03: Chip: 347; Nr: 347; (10:21:02,5);
10:21:03: Chip: 376; Nr: 376; (10:21:03,9);
10:21:03: Chip: 353; Nr: 353; (10:21:03,3);
10:21:07: Chip: 474; Nr: 474; (10:21:06,8);
10:21:14: Chip: 437; Nr: 437; (10:21:13,8);
10:21:19: Chip: 381; Nr: 381; (10:21:18,5);
10:21:25: Chip: 472; Nr: 472; (10:21:24,8);
10:21:28: Chip: 20181006; Nr: 1006; (10:21:27,5);
10:21:29: Chip: 20181007; Nr: 1007; (10:21:29,3);
10:21:30: Chip: 471; Nr: 471; (10:21:30,3);
10:21:35: Chip: 383; Nr: 383; (10:21:35,3);
10:21:38: Chip: 20180999; Nr: 999; (10:21:37,5);
10:21:40: Chip: 323; Nr: 323; (10:21:40,9);
10:21:42: Chip: 417; Nr: 417; (10:21:41,5);
10:21:42: Chip: 516; Nr: 516; (10:21:42,9);
10:21:47: Chip: 548; Nr: 548; (10:21:47,3);
10:21:49: Chip: 20181707; Nr: 1707; (10:21:49,9);
10:21:54: Chip: 470; Nr: 470; (10:21:53,5);
10:21:58: Chip: 562; Nr: 562; (10:21:57,8);
10:22:00: Chip: 329; Nr: 329; (10:22:00,9);
10:22:02: Chip: 20182408; Nr: 2408; (10:22:01,5);
10:22:02: Chip: 20180200; Nr: 200; (10:22:02,3);
10:22:03: Chip: 20180066; Nr: 66; (10:22:02,8);
10:22:11: Chip: 441; Nr: 441; (10:22:10,5);
10:22:12: Chip: 463; Nr: 463; (10:22:11,5);
10:22:13: Chip: 414; Nr: 414; (10:22:13,3);
10:22:14: Chip: 20181506; Nr: 1506; (10:22:13,6);
10:22:15: Chip: 239; Nr: 239; (10:22:15,3);
10:22:16: Chip: 449; Nr: 449; (10:22:15,5);
10:22:17: Chip: 150; Nr: 150; (10:22:17,9);
10:22:17: Chip: 576; Nr: 576; (10:22:17,3);
10:22:18: Chip: 20181305; Nr: 1305; (10:22:17,8);
10:22:19: Chip: 20182207; Nr: 2207; (10:22:18,8);
10:22:20: Chip: 531; Nr: 531; (10:22:19,8);
10:22:20: Chip: 20181104; Nr: 1104; (10:22:20,1);
10:22:23: Chip: 299; Nr: 299; (10:22:22,8);
10:22:26: Chip: 20182806; Nr: 2806; (10:22:26,9);
10:22:27: Chip: 20181022; Nr: 1022; (10:22:26,8);
10:22:27: Chip: 375; Nr: 375; (10:22:27,3);
10:22:28: Chip: 20182809; Nr: 2809; (10:22:28,9);
10:22:28: Chip: 20180071; Nr: 71; (10:22:28,1);
10:22:29: Chip: 20181910; Nr: 1910; (10:22:29,1);
10:22:30: Chip: 20188687; Nr: 8687; (10:22:29,8);
10:22:30: Chip: 20180998; Nr: 998; (10:22:30,3);
10:22:30: Chip: 522; Nr: 522; (10:22:30,3);
10:22:31: Chip: 20182607; Nr: 2607; (10:22:30,6);
10:22:31: Chip: 460; Nr: 460; (10:22:31,9);
10:22:31: Chip: 20160202; Nr: 202; (10:22:31,3);
10:22:45: Chip: 161; Nr: 161; (10:22:45,3);
10:22:49: Chip: 286; Nr: 286; (10:22:48,8);
10:22:50: Chip: 142; Nr: 142; (10:22:50,9);
10:22:52: Chip: 191; Nr: 191; (10:22:51,8);
10:22:54: Chip: 295; Nr: 295; (10:22:54,9);
10:22:54: Chip: 435; Nr: 435; (10:22:54,3);
10:22:55: Chip: 155; Nr: 155; (10:22:55,3);
10:22:56: Chip: 20181207; Nr: 1207; (10:22:55,6);
10:22:57: Chip: 364; Nr: 364; (10:22:56,8);
10:22:59: Chip: 20180700; Nr: 700; (10:22:58,5);
10:23:01: Chip: 20160157; Nr: 157; (10:23:00,5);
10:23:02: Chip: 553; Nr: 553; (10:23:02,9);
10:23:03: Chip: 20160227; Nr: 227; (10:23:03,9);
10:23:05: Chip: 247; Nr: 247; (10:23:04,8);
10:23:07: Chip: 20181205; Nr: 1205; (10:23:07,9);
